"Authorization","Autorização"
"Card Verification Number","Número de Verificação do Cartão"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação do Cartão de Crédito"
"Cybersource (SOAP Toolkit)","Cybersource (Ferramentas SOAP)"
"Debug","Debug"
"Enabled","Habilitar"
"Error in refunding the payment.","Erro na devolução do pagamento."
"Expiration Date","Data de Vencimento"
"Gateway request error: %s","Erro na resposta do Gateway: %s"
"Invalid transaction id or token","Token ou Id da transação inválido"
"Issue Number","Número de Emissão"
"JCB","JCB"
"Laser","Laser"
"Maestro (International)","Maestro (Internacional)"
"Maestro/Solo(UK Domestic)","Maestro/Solo(Apenas UK)"
"Merchant ID","ID do Vendedor"
"Name on Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New Order Status","Nova Situação do Pedido"
"Payment Action","Ação de Pagamento"
"Payment from Applicable Countries","Pagamento Permitido para Países"
"Payment from Specific Countries","Pagamento Específico para Países"
"SOAP extension is not enabled. Please contact us.","Extensão SOAP não está habilitada. Entre em contato."
"Sale","Venda"
"Security Key","Chave de Segurança"
"Sort Order","Ordem dos Pedidos"
"Start Date","Data de Início"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(Apenas UK) Somente"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(Apenas UK) número de emissão do cartão: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(Apenas UK) data emissão do cartão: %s/%s"
"Test Mode","Modo Teste"
"There is an error in processing the payment. Please try again or contact us.","Ocorreu um erro ao processar pagamento. Tente novamente ou entre em contato."
"Title","Título"
"UATP","UATP"
"What is this?","O que é isso?"
"Year","Ano"
