"Add Recipient","Adicionar Email"
"Allow for Guests","Permitir para Visitantes"
"An invalid email address for recipient was entered.","O endereço de e-mail digitado não é válido."
"At least one recipient must be specified.","Ao menos um campo deve ser preenchido."
"Back","Voltar"
"Catalog Product Email to a Friend","Email de Produtos do Catálogo para Amigos"
"Email Address","Email"
"Email Address:","Email:"
"Email Templates","Configuração de Envio"
"Email to a Friend","Avise os Amigos"
"Email:","Email:"
"Enabled","Habilitado"
"Invalid Sender Information","Informação de Remetente Inválido"
"Invalid sender email.","Informação de remetente inválido."
"Limit Sending By","Controlar Envios Usando"
"Link to a friend was sent.","Link foi enviado para um amigo."
"Max Products Sent in 1 Hour","Máx. de Envios por Hora"
"Max Recipients","Máx. de Destinatários"
"Maximum %d email addresses allowed.","Máximo %d emails permitidos."
"Message can\'t be empty","Mensagem não pode ficar em branco"
"Message:","Mensagem:"
"Name","Nome"
"Name:","Nome:"
"No more than %d emails can be sent at a time.","Não mais do que %d emails pode ser enviados ao mesmo tempo."
"Please define a correct Cookie instance.","Por favor selecione uma instância correta de Cookie."
"Please define a correct Product instance.","Por favor selecione uma instância correta de Produto."
"Please define the correct Sender information.","Por favor selecione informação correta de Envio."
"Recipient:","Destinatário:"
"Remove Email","Remover Email"
"Select Email Template","Modelo de Email"
"Send Email","Enviar email"
"Send product to a friend","Envie a um amigo"
"Sender name can\'t be empty","Nome do remetente não pode ser vazio"
"Sender:","Remetente:"
"Some emails were not sent.","Alguns emails não foram enviados."
"Some problems with data.","Alguns problemas com os dados."
"The link to a friend was sent.","O link foi enviado ao seu amigo."
"The message cannot be empty.","A mensagem não pode ficar em branco."
"The messages cannot be sent more than %d times in an hour","Não é possível enviar mais do que %d mensagens por hora"
"The sender name cannot be empty.","O nome do remetente deve ser preenchido."
"There were some problems with the data.","Existe algum problema com as informações."
"You cannot send more than %d emails at a time","Você não pode enviar mais do que %d emails por vez"
"You cannot send more than %d times in an hour","Você não pode enviar mais do que %d vezes por hora"
"You have exceeded limit of %d sends in an hour","Você ultrapassou o limite de %d envios por hora"
"You have to specify at least one recipient","Você precisa informar ao menos um email de destino"
"You input invalid email address for recipient","O que você informou não é um email válido"
