"API Gateway URL","API Gateway URL"
"Accepted Currency","Moedas Permitidas"
"An error has occurred","Ocorreu um erro"
"Card Verification Number","Número de Verificação do Cartão"
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para continuar comprando."
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação Cartão de Crédito"
"Customer ID","ID do Cliente"
"Customer was redirected to eWAY.","Cliente foi redirecionado para eWAY."
"Debug Flag","Debug Flag"
"Enabled","Habilitar"
"Expiration Date","Data Expiração"
"Name on Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New Order Status","Nova Situação do Pedido"
"Payment from Applicable Countries","Pagamento Permitido para Países"
"Payment from Specific Countries","Pagamento Específico para Países"
"Please Select","Selecione..."
"Selected currency code (%s) is not compatible with eWAY.","Código da moeda selecionada (%s) não é compatível com eWAY."
"Sort Order","Ordem dos Pedidos"
"The customer has successfully returned from eWAY.","O cliente retornou com sucesso do site eWAY."
"The customer was rejected by eWAY.","O cliente não foi aceito pelo eWAY."
"There has been an error processing your payment.","Ocorreu um erro ao processar seu pagamento."
"There has been an error processing your payment. Please try later or contact us for help.","Ocorreu um erro ao processar seu pagamento. Tente novamente ou entre em contato."
"Title","Título"
"Use Beagle Anti-Fraud","Usar Anti-Fraude Beagle"
"What is this?","O que é isso?"
"You will be redirected to eWAY 3D-Secure in a few seconds.","Você será redirecionado para eWAY 3D-Secure em alguns segundos."
"You will be redirected to eWAY 3D-Secure website when you place an order.","Você será redirecionado para eWAY 3D-Secure quando fizer um pedido."
"You will be redirected to eWAY in a few seconds.","Você será redirecionado para eWAY em alguns segundos."
"You will be redirected to eWAY website when you place an order.","Você será redirecionado para eWAY quando fizer um pedido."
"eWAY 3D-Secure","eWAY 3D-Secure"
"eWAY Direct","eWAY Direto"
"eWAY Shared","eWAY Compartilhado"
