"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s foi adicionado aos favoritos. Clique <a href=""%2$s"">aqui</a> para continuar comprando"
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foi adicionado ao carrinho de compras: %s."
"%s's Wishlist","%s's Favoritos"
"* Required Fields","* Campos Obrigatórios"
"Add All to Cart","Adicionar Tudo ao Carrinho"
"Add to Cart","Comprar"
"Add to Wishlist","Adicionar &agrave; Lista"
"Added On","Data"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao tentar adicionar um item a lista."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao tentar adicionar um item a lista: %s"
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao tentar excluir um item da lista."
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao tentar excluir um item da lista: %s"
"Are you sure you want to remove this product from your wishlist?","Tem certeza que deseja excluir este produto dos favoritos?"
"Are you sure you would like to remove this item from the wishlist?","Tem certeza que deseja excluir este item dos favoritos?"
"Back","Voltar"
"Can\'t save description %s","Descrição não foi salva %s"
"Can\'t update wishlist","Não foi possível atualizar a lista"
"Cannot add item to shopping cart","Não foi possível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Não foi possível adicionar o item ao carrinho de compras."
"Cannot create wishlist.","Não foi possível criar uma lista de favoritos."
"Cannot specify product.","Produto não especificado."
"Cannot specify wishlist.","Favoritos não especificado."
"Cannot add item to shopping cart","Não foi possível adicionar o item ao carrinho de compras"
"Cannot add to shopping cart","Não foi possível adicionar ao carrinho de compras"
"Cannot create wishlist","Não foi possível criar favoritos"
"Cannot specify product","Produto não especificado"
"Cannot specify product.","Produto não especificado."
"Cannot update wishlist","Não foi possível atualizar a lista"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque este checkbox se você deseja adicionar um link para uma lista rss dos favoritos."
"Comment","Comentário"
"Comment:","Comentário:"
"Customer My Account My Wishlist","Cliente Minha Conta Favoritos"
"Customer My Account Wishlist Sharing Form","Cliente Minha Conta Favoritos Compartilhar Formulário"
"Customer Shared Wishlist View","Cliente Compartilhar Visualização de Favoritos"
"Email Sender","Remetente de Email"
"Email Template","Modelo de Email"
"Email address can\'t be empty.","Endereço de Email não pode ficar em branco."
"Email addresses, separated by commas","Endereços de Email, separados por vírgula"
"Enabled","Habilitado"
"General Options","Opções Gerais"
"Go to Wishlist","Ver Todos"
"Last Added Items","Últimos Itens Adicionados"
"Message","Mensagem"
"My Wishlist","Meus Favoritos"
"My Wishlist (%d item)","Favorito (%d item)"
"My Wishlist (%d items)","Favoritos (%d itens)"
"My Wishlist <small>(%d)</small>","Favoritos <small>(%d)</small>"
"Out of stock","Esgotado"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor digite um endereço de email válido, separados por vírgulas. Exemplo johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Por favor informe um endereço de email válido."
"Please enter your comments...","Por favor, deixe seus comentários..."
"Please input a valid email address.","Informe um endereço de e-mail válido."
"Please, enter your comments...","Faça seus comentários..."
"Product","Produto"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","Produto(s) %s agrupados. Cada um deles pode ser adicionado separadamente no carrinho."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produto(s) %s tem opções obrigatórias. Cada um deles pode ser adicionado separadamente no carrinho."
"RSS Feed","Lista RSS"
"RSS link to %s's wishlist","RSS aponta para %s's favoritos"
"Remove Item","Excluir Item"
"Remove This Item","Excluir Este Item"
"Remove item","Excluir item"
"Share Options","Opções de Compartilhamento"
"Share Wishlist","Compartilhar Lista"
"Share Your Wishlist","Compartilhe seus favoritos"
"Sharing Information","Compartilhar Informações"
"There was an error while adding item to wishlist.","Ocorreu um erro ao adicionar itens aos favoritos."
"There was an error while adding item to wishlist: %s","Ocorreu um erro ao adicionar itens a seus favoritos: %s"
"There was an error while deleting item from wishlist.","Ocorreu um erro ao excluir itens da seus favoritos."
"There was an error while deleting item from wishlist: %s","Ocorreu um erro ao excluir os itens dos seus favoritos: %s"
"This product(s) is currently out of stock","Estes produto(s) estão temporariamente sem estoque"
"Unable to add the following product(s) to shopping cart: %s.","Não foi possível adicionar os seguintes produto(s) ao carrinho de compras: %s."
"Update Wishlist","Atualizar Lista"
"View Product","Ver Produto"
"Wishlist","Favoritos"
"Wishlist Section","Seção Favoritos"
"Wishlist Sharing","Compartilhando Lista"
"Wishlist is empty now.","Favoritos vazia."
"You have no items in your wishlist.","Você não possui nenhum produto favorito."
"Your Wishlist has been shared.","Seus Favoritos foi compartilhada com sucesso."
