"-- Please Select --","Selecione..."
"Account Registration","Registrar Conta"
"All fields of script types have to be filled.","Todos os campos do tipo script precisam ser preenchidos."
"Attributes","Atributos"
"Category View Optimization","Visualizar Categoria Otimizada"
"Control Script","Controlar Script"
"Conversion Page","Página de Conversão"
"Conversion Page URL","Converter Página URL"
"Conversion Script","Converter Script"
"Enable","Habilitar"
"Google Optimizer Scripts","Otimizador de Scripts do Google"
"Google Website Optimizer","Otimizador de Sites do Google"
"Install Scripts","Instalar Scripts"
"Limit is 8 attributes only.","Limite é de 8 atributos apenas."
"Multi Address Checkout","Finalizar Pedido com Vários Endereços"
"One Page Checkout","Finalizar Pedido em Uma Página"
"Order Success (Multi Address Checkout)","Pedido Sucesso (Pagamento Vários Endereços)"
"Order Success (One Page Checkout)","Pedido Sucesso (Pagamento em Uma Página)"
"Original Page","Página Original"
"Other","Outros"
"Page Type","Tipo de Página"
"Page View Optimization","Visualizar Página de Otimização"
"Please copy and paste this value to experiment edit form","Por favor copie e cole o valor para experimentar a edição de formulário"
"Please copy and paste this value to experiment edit form.","Por favor copie e cole o valor para experimentar a edição de formulário."
"Please select store view to see the URL","Por favor selecione a visão de loja para ver a URL"
"Please select store view to see the URL.","Por favor selecione a visão de loja para ver a URL."
"Product View Optimization","Visualizar Produto Otimização"
"Scripts Install URL","URL Instalar Scripts"
"Shopping Cart","Carrinho de Compras"
"The limit is 8 attributes only.","O limite é de apenas 8 atributos."
"Tracking Script","Script de Monitoramento"
"Use Default","Usar Padrão"
"Use Default Values","Usar Valores Padrão"
"Variant Page","Página Variante"
