"%s - Discounts and Coupons","%s - Descontos e Cupons"
"%s - Special Products","%s - Produtos Especiais"
"%s RSS Feed","%s Leitor RSS"
"%s has reached a quantity of %s.","%s chegou a quantidade de %s."
"%s\'s Wishlist","%s\'s Favoritos"
"Cannot retrieve the wishlist","Não foi possível recuperar a lista de favoritos"
"Catalog","Catálogo"
"Category Feeds","Lista de Categorias"
"Comment: %s<br/>","Comentário: %s<br/>"
"Coupons/Discounts","Cupons/Descontos"
"Current Status: %s<br/>","Status Atual: %s<br/>"
"Customer Name: %s","Nome Cliente: %s"
"Customer Order Status Notification","Notificação de Status do Pedido do Cliente"
"Details for %s #%s","Detalhes para %s #%s"
"Discount ","Desconto "
"Discount (%s)","Desconto (%s)"
"Enable RSS","Recurso RSS"
"Error in processing xml. %s","Erro ao processar xml. %s"
"From:","De:"
"Get Feed","Pegar Leitor"
"Gift Message","Mensagem Presente"
"Grand Total","Total"
"Low Stock Products","Produtos Estoque Baixo"
"Message:","Mensagem:"
"Miscellaneous Feeds","Diversos Leitores"
"New Orders","Novos Pedidos"
"New Products","Novos Produtos"
"New Products from %s","Novos Produtos de %s"
"Notified Date: %s<br/>","Data Notificação: %s<br/>"
"Order # %s Notification(s)","Pedido # %s Notificação(s)"
"Order #%s created at %s","Pedido #%s criado em %s"
"Pending product review(s)","Análise de produto pendente"
"Product: ""%s"" review By: %s","Produto: ""%s"" comentado por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produto: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produtos marcados com %s"
"Purchased From: %s","Comprado de: %s"
"RSS","RSS"
"RSS Feeds","Leitor RSS"
"RSS Feeds List","Lista Leitores RSS"
"Review: %s <br/>","Comentar: %s <br/>"
"Rss Config","Configurar Rss"
"Rss Feeds Section","Seção Leitor Rss"
"Shipping &amp; Handling","Entrega &amp; Embrulho"
"Special Products","Produtos Especiais"
"Store: %s <br/>","Loja: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Resumo do comentário: %s <br/>"
"Tags Products","Produtos Marcados"
"Tax","Imposto"
"There are no Rss Feeds","Não existe Leitores Rss"
"To:","Para:"
"Top Level Category","Categoria Nível Top"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Favoritos"
"click <a href=""%s"">here</a> to view the review","clique <a href=""%s"">aqui</a> para visualizar os comentários"
