"-- Please select --","Selecione..."
"Allowed Currencies","Moedas Permitidas"
"Base Currency","Moeda Base"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Moeda base é usado para todas as transações de pagamento online. Escopo é definido pelo escopo do preço de catálogo (""Catálogo"" > ""Preço"" > ""Escopo Preço de Catálogo"")."
"Cannot retrieve rate from %s.","Não foi possível recuperar a taxa de %s."
"Connection Timeout in Seconds","Perda de conexão (em segundos)"
"Continue &raquo;","Continuar &raquo;"
"Country","País"
"Country Api","País Api"
"Country and Format Type combination should be unique","Combinação entre País e Tipo de Formato devem ser únicos"
"Currency","Moeda"
"Currency Options","Opções de Moeda"
"Currency Setup","Moedas"
"Currency Update Warnings","Alertas de Atualização de Moeda"
"Currency will be used for all online payment transactions","Moeda será usada para todas as transações de pagamento online"
"Default Display Currency","Mostrar moeda padrão"
"Directory","Diretório"
"Enabled","Habilitado"
"Error Email Recipient","Destinatário de Email de Erro"
"Error Email Sender","Remetente de Email de Erro"
"Error Email Template","Modelo de Email de Erro"
"FATAL ERROR:","ERRO FATAL:"
"Frequency","Frequência"
"Installed Currencies","Moedas Instaladas"
"Invalid Import Service Specified","Serviço de Importação Especificado é Inválido"
"Invalid Import Service specified.","Serviço de Importação Especificado Inválido."
"Invalid country code: %s","Código de país inválido: %s"
"Invalid rates received","Taxa inválida recebido"
"Invalid target currency.","Inválida moeda de destino."
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiões específicas do país"
"Postal Code is Optional for the following countries","CEP opcional para os países"
"Region","Região"
"Region Api","Região Api"
"Scheduled Import Settings","Agendar Opções de Cotação"
"Select Your Currency","Selecione Sua Moeda"
"Service","Serviço"
"Start Time","Hora de Início"
"State/Province","Estado"
"Strikeiron Email Update Warnings","Alertas de Atualização de Email do Strikeiron"
"Unable to initialize the import model.","Não foi possível iniciar importação de modelo."
"Undefined rate from ""%s-%s"".","Taxa indefinida para ""%s-%s""."
"WARNING:","AVISO:"
"Webservicex","Webservicex"
"Your current currency is: %s","Sua moeda corrente é: %s"
