"Alert Email Sender","Remetente de Email de Alertas"
"Alert subscription has been saved.","Avisar que assinatura foi feita com sucesso."
"Alert subscription was deleted successfully","Avisar que assinatura foi excluída com sucesso"
"Alert subscription was saved successfully","Avisar que assinatura foi feita com sucesso"
"Allow Alert When Product Comes Back in Stock","Avisar quando produto voltar ao estoque"
"Allow Alert When Product Price Changes","Avisar quando produto mudar de preço"
"Click here not to receive alerts for this product","Clique aqui para não receber mais alertas para este produto"
"Error Email Recipient","Email de Erro Destinatário"
"Error Email Sender","Email de Erro Remetente"
"Error Email Template","Modelo de Email de Erro"
"Frequency","Frequência"
"Not enough parameters","Faltam parâmetros"
"Not enough parameters.","Faltam parâmetros."
"Please try again later","Por favor tente novamente"
"Price Alert Email Template","Modelo de Email de Preço"
"Price:","Preço:"
"Product Alerts","Alerta de Produtos"
"Product Alerts Run Settings","Configurações de Envio de Alertas"
"Product alerts Cron error","Erro de Cron Alerta de Produtos"
"Product not found","Produto não encontrado"
"Product price alert","Alerta de Preços de Produtos"
"Product stock alert","Alerta de Estoque de Produtos"
"Regular Price:","Preço:"
"Sign up for price alert","Receber alerta para preços"
"Sign up to get notified when this product is back in stock","Avise-me quando este produto voltar ao estoque"
"Special price:","Preço Promocional:"
"Start Time","Hora Início"
"Stock Alert Email Template","Modelo de Email para Estoque"
"The alert subscription has been deleted.","O alerta de assinatura foi excluído."
"The alert subscription has been saved.","O alerta de assinatura foi salvo."
"The product is not found.","O produto não foi encontrado."
"The product was not found.","O produto não foi encontrado."
"Unable to update the alert subscription.","Não foi possível atualizar o alerta de assinatura."
"Unsubscribe from all price alerts","Não receber mais nenhum email de alerta de preços"
"Unsubscribe from all stock alerts","Não receber mais nenhum email de alerta de estoque"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Você está recebendo esta mensagem porque solicitou um alerta quando o produto retornasse ao estoque:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Você está recebendo esta mensagem porque solicitou um alerta quando o preço fosse alterado para o produto:"
"You will no longer receive price alerts for this product.","Você não ira mais receber alertas de preço para este produto."
"You will no longer receive stock alerts for this product.","Você não ira mais receber alertas de estoque para este produto."
"You will no longer receive stock alerts.","Você não ira mais receber alertas de estoque."
