"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Criar Avaliação"
"Assigned Options","Opções Atribuídas"
"Be the first to review this product","Seja o primeiro a comentar este produto"
"Default Value","Valor Padrão"
"Delete Rating","Excluir"
"Edit Rating","Editar Avaliação"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Se você não especificar um Título para a Avaliação, o Valor Padrão será usado."
"Manage Ratings","Avaliações"
"New Rating","Nova Avaliação"
"Option Label","Opção de Legenda"
"Option Title","Opção de Título"
"Option Title:","Opção de Título:"
"Please select one of each ratings above","Por favor selecione uma das avaliações seguinte"
"Rating Information","Informação"
"Rating Name","Nome"
"Rating Options","Opções"
"Rating Title","Título"
"Rating Visibility","Visibilidade da Avaliação"
"Rating isn't Available","Avaliação não está disponível"
"Rating with the same title","Avaliação com mesmo título"
"Save Rating","Salvar"
"Visible In","Visível Em"
