"Accepted Currency","Moeda Aceita"
"An error has occurred","Ocorreu um erro"
"An error occurred during paying process.","Ocorreu um erro durante processo de pagamento."
"An error occurred during the paying process.","Ocorreu um erro durante o processo de pagamento."
"Authorize Only","Autorizar Apenas"
"Authorize and Capture","Autorizar e Capturar"
"CGI URL","CGI URL"
"Card Verification Number","Número de Verificação do Cartão"
"ChronoPay Gateway","Gateway ChronoPay"
"ChronoPay Standard","ChronoPay Standard"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo Cartão de Crédito"
"Credit Card Type: %s","Tipo Cartão de Crédito: %s"
"Credit Card Types","Tipos Cartão de Crédito"
"Customer Interface Language","Idioma do Cliente"
"Debug","Debug"
"Dutch","Holandês"
"Enabled","Habilitado"
"English","Inglês"
"Expiration Date","Data Expiração"
"Gateway request error: %s","Gateway erro de requisição: %s"
"German","Alemão"
"Invalid operation code.","Código de operação inválido."
"Invalid response format.","Formato de resposta inválido."
"Name on Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New Order Status","Nova Situação do Pedido"
"Order #%s","Pedido #%s"
"Order number will be used if left empty.","Número do pedido será usado se ficar em branco."
"Payment Action","Ação de Pagamento"
"Payment from Applicable Countries","Pagamento Permitido para Países"
"Payment from Specific Countries","Pagamento Específico para Países"
"Please Select","Selecione..."
"Product ID","ID do Produto"
"Russian","Russo"
"Shared Secret","Segredo Compartilhado"
"Site ID","ID do Site"
"Sort Order","Ordem dos Pedidos"
"Specify access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay client admin.","Informe URL de acesso: {STORE_URL}/chronopay/standard/success na administração do ChronoPay."
"The customer has successfully returned from Chronopay.","O cliente retornou com sucesso da página Chronopay."
"The customer was redirected to Chronopay.","O cliente foi redirecionado para Chronopay."
"The selected currency code (%s) is not compatible with ChronoPay.","O código da moeda selecionada (%s) não é compatível com ChronoPay."
"The transaction ID is invalid.","O ID da transação não é válido."
"Title","Título"
"Transaction Description","Descrição da Transação"
"What is this?","O que é isso?"
"You will be redirected to ChronoPay in a few seconds.","Você será redirecionado para ChronoPay em alguns segundos."
"You will be redirected to Chronopay website when you place an order.","Você será redirecionado para o site da Chronopay quando você fizer um pedido."
