"Add","Adicionar"
"Allow Gift Messages for Order Items","Permitir mensagens de presentes para itens do pedido"
"Allow Gift Messages on Order Level","Permitir Mensagens de Presentes em qualquer nível do pedido"
"An error occurred while saving the gift message.","Ocorreu um erro ao tentar salvar a mensagem de presente."
"Are you sure?","Você tem certeza?"
"Check this checkbox if you want to add gift messages to your items.","Marque este checkbox se você quer adicionar mensagens de presente para seus itens."
"Check this checkbox if you want to add gift messages.","Marque este checkbox se você quer adicionar mensagens de presente."
"Do you have any gift items in your order?","Você tem algum item de presente no seu pedido?"
"Edit","Editar"
"Enter a gift message for each item in your order.","Informe uma mensagem de presente para cada item do seu pedido."
"Enter a gift message for entire order.","Informe uma mensagem de presente para este pedido."
"Enter a gift message for this address.","Informe uma mensagem de presente para este endereço."
"Error while saving gift message","Erro ao salvar mensagem presente"
"From","De"
"Gift Messages","Mensagem Presente"
"Gift message has been successfully saved","Mensagem presente foi salva com sucesso"
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"Save Gift Message","Salvar Mensagem Presente"
"The gift message has been removed","A mensagem de presente foi excluída com sucesso"
"The gift message has been saved","A mensagem de presente foi salva com sucesso"
"The gift message has been saved.","A mensagem de presente foi salva com sucesso."
"To","Para"
"Unknown entity type","Tipo de entidade desconhecido"
"Use config","Usar configuração"
"Yes","Sim"
"You can leave this box blank if you do not wish to add a gift message for the item.","Você pode deixar em branco se você não deseja incluir uma mensagem de presente para este item."
"You can leave this box blank if you do not wish to add a gift message for this address.","Você pode deixar em branco se você não deseja incluir uma mensagem de presente para este endereço."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Você pode deixar em branco se você não deseja incluir uma mensagem de presente para todo pedido."
"Your gift message successfully removed","Sua mensagem presente foi excluída com sucesso"
"Your gift message successfully saved","Sua mensagem presente foi salva com sucesso"
