"Action","Ações"
"An error occurred while writing to the backup file ""%s"".","Ocorreu um erro enquanto gravava o arquivo de backup ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Arquivo de Backup ""%s"" não pode ser lido ou gravado."
"Backup file ""%s"" does not exist.","Arquivo de Backup ""%s"" não existe."
"Backup file does not exist.","Arquivo de Backup não existe."
"Backup file handler was unspecified.","Manipulador de Arquivo de Backup não especificado."
"Backup file path was not specified.","Diretório do arquivo de Backup não especificado."
"Backups","Backups"
"Cannot read backup file.","Não foi possível ler o arquivo de backup."
"Create Backup","Criar Backup"
"DB","DB"
"Database was successfuly backed up.","Cópia de Segurança da Base de Dados feita com sucesso."
"Download","Download"
"Error write to Backup file ""%s""","Erro ao gravar arquivo de Backup ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Arquivo compactado com Zlib, mas esta extensão não está disponível no servidor"
"Size, Bytes","Tamanho em bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","O arquivo foi compactado com Zlib, mas esta extensão não está instalada no servidor."
"Time","Data/Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não foi possível gerar um backup de dados. Por favor tente novamente."
"Wrong order of creation for new backup.","Ordem errada na criação do novo backup."
